park_id	park_name	beg_date	end_date	is_active	n_games	lng	lat	city	state_id	country_id
ALB01	Riverside Park	1880-09-11	1882-05-30	false	7	-73.75	42.64	Albany	NY	US
ALT01	Columbia Park (Altoona)	1884-04-30	1884-05-31	false	18	-78.41	40.49	Altoona	PA	US
ANA01	Angel Stadium of Anaheim	1966-04-19	2013-09-25	true	3836	-117.88	33.8	Anaheim	CA	US
ARL01	Arlington Stadium	1972-04-21	1993-10-03	false	1750	-97.08	32.76	Arlington	TX	US
ARL02	Globe Life Park	1994-04-11	2013-09-30	true	1595	-97.08	32.75	Arlington	TX	US
ATL02	Turner Field	1997-04-04	2013-09-29	true	1377	-84.39	33.74	Atlanta	GA	US
BAL01	Madison Avenue Grounds	1871-07-08	1871-07-08	false	1	-76.63	39.31	Baltimore	MD	US
BAL02	Newington Park	1872-04-22	1882-09-30	false	112	-76.64	39.31	Baltimore	MD	US
BAL10	Terrapin Park	1914-04-13	1915-10-02	false	158	-76.61	39.32	Baltimore	MD	US
BAL04	Belair Lot	1884-04-17	1884-09-24	false	50	-76.6	39.29	Baltimore	MD	US
BAL05	Monumental Park	1884-08-25	1884-08-25	false	1	-76.61	39.29	Baltimore	MD	US
BAL11	Memorial Stadium	1954-04-15	1991-10-06	false	3006	-76.6	39.33	Baltimore	MD	US
BAL12	Oriole Park at Camden Yards	1992-04-06	2013-09-29	true	1746	-76.62	39.28	Baltimore	MD	US
BOS06	Huntington Avenue Baseball Grounds	1901-05-08	1911-10-07	false	831	-71.09	42.34	Boston	MA	US
BOS02	Dartmouth Grounds	1884-04-30	1884-09-24	false	57	-71.1	42.32	Boston	MA	US
BOS04	Congress Street Grounds	1890-04-19	1894-06-20	false	167	-71.05	42.35	Boston	MA	US
BOS07	Fenway Park	1912-04-20	2013-09-22	true	8013	-71.1	42.35	Boston	MA	US
BOS08	Braves Field	1915-08-18	1952-09-21	false	2871	-71.12	42.35	Boston	MA	US
BUF01	Riverside Grounds	1879-05-01	1883-09-08	false	212	-78.89	42.91	Buffalo	NY	US
BUF02	Olympic Park I	1884-05-21	1885-10-07	false	108	-78.88	42.91	Buffalo	NY	US
BUF03	Olympic Park II	1890-04-19	1890-10-04	false	65	-78.86	42.91	Buffalo	NY	US
BUF04	International Fair Association Grounds	1914-05-11	1915-09-08	false	156	-78.85	42.92	Buffalo	NY	US
CAN01	Mahaffey Park	1902-06-15	1903-06-21	false	3	-81.41	40.82	Canton	OH	US
CAN02	Pastime Park	1890-09-18	1890-09-18	false	1	-81.42	40.81	Canton	OH	US
CHI04	Lake Front Park III	1883-05-05	1884-10-11	false	106	-87.62	41.88	Chicago	IL	US
CHI02	23rd Street Park	1872-05-29	1877-10-06	false	129	-87.63	41.85	Chicago	IL	US
CHI05	South Side Park I	1884-05-02	1884-08-01	false	35	-87.62	41.82	Chicago	IL	US
CHI06	West Side Park	1885-06-06	1891-10-02	false	429	-87.66	41.87	Chicago	IL	US
CHI12	U.S. Cellular Field	1991-04-18	2013-09-29	true	1831	-87.63	41.83	Chicago	IL	US
CHI08	West Side Grounds	1893-05-14	1915-10-03	false	1739	-87.67	41.87	Chicago	IL	US
CHI09	South Side Park III	1901-04-24	1910-06-27	false	718	-87.63	41.82	Chicago	IL	US
CHI11	Wrigley Field	1914-04-23	2013-09-25	true	7871	-87.66	41.95	Chicago	IL	US
CIN01	Lincoln Park Grounds	1871-05-13	1871-07-22	false	3	-84.53	39.11	Cincinnati	OH	US
CIN02	Avenue Grounds	1876-04-25	1879-08-27	false	132	-84.55	39.14	Cincinnati	OH	US
CIN07	Crosley Field	1912-04-11	1970-06-24	false	4544	-84.54	39.12	Cincinnati	OH	US
CIN09	Great American Ballpark	2003-03-31	2013-09-29	true	892	-84.51	39.1	Cincinnati	OH	US
CLE04	Brotherhood Park	1890-04-30	1890-10-04	false	62	-81.65	41.48	Cleveland	OH	US
CLE02	League Park I	1879-05-01	1884-10-11	false	275	-81.65	41.5	Cleveland	OH	US
CLE03	League Park II	1887-05-04	1890-10-04	false	246	-81.66	41.5	Cleveland	OH	US
CLE06	League Park IV	1910-04-21	1946-09-21	false	2376	-81.64	41.51	Cleveland	OH	US
CLE07	Cleveland Stadium	1932-07-31	1993-10-03	false	4196	-81.7	41.51	Cleveland	OH	US
CLE08	Progressive Field	1994-04-04	2013-09-25	true	1575	-81.69	41.5	Cleveland	OH	US
CLE09	Cedar Avenue Driving Park	1887-08-21	1887-08-21	false	1	-81.63	41.5	Cleveland	OH	US
CLL01	Euclid Beach Park	1898-06-12	1898-06-19	false	2	-81.57	41.58	Cleveland	OH	US
COL01	Recreation Park (Columbus) I	1883-05-01	1884-09-22	false	102	-82.98	39.96	Columbus	OH	US
COL02	Recreation Park (Columbus) II	1889-04-28	1891-09-22	false	202	-82.99	39.95	Columbus	OH	US
COL04	Neil Park II	1905-07-23	1905-07-24	false	2	-82.99	39.97	Columbus	OH	US
COV01	Star Baseball Park	1875-09-21	1875-09-21	false	1	-84.51	39.07	Covington	KY	US
DAY01	Fairview Park	1902-06-08	1902-06-08	false	1	-84.21	39.79	Dayton	OH	US
DEN01	Mile High Stadium	1993-04-09	1994-08-11	false	138	-105.02	39.75	Denver	CO	US
DEN02	Coors Field	1995-04-26	2013-09-25	true	1531	-104.99	39.76	Denver	CO	US
DET01	Recreation Park (Detroit)	1881-05-02	1890-09-23	false	439	-83.06	42.35	Detroit	MI	US
DET04	Tiger Stadium	1912-04-20	1999-09-27	false	6879	-83.07	42.33	Detroit	MI	US
DET03	Burns Park	1901-04-28	1902-09-07	false	23	-83.13	42.32	Detroit	MI	US
DET05	Comerica Park	2000-04-11	2013-09-22	true	1133	-83.05	42.34	Detroit	MI	US
DOV01	Fairview Park Fair Grounds	1875-06-24	1875-06-24	false	1	-75.54	39.17	Dover	DE	US
ELM01	Maple Avenue Driving Park	1885-10-10	1885-10-10	false	2	-76.78	42.08	Elmira	NY	US
FOR01	Grand Duchess	1871-05-13	1871-08-29	false	8	-85.16	41.08	Fort Wayne	IN	US
FOR03	Jailhouse Flats	1902-06-22	1902-08-31	false	2	-85.14	41.08	Fort Wayne	IN	US
GEA01	Geauga Lake Grounds	1888-07-22	1888-08-26	false	3	-81.37	41.35	Aurora	OH	US
GLO01	Gloucester Point Grounds	1888-08-05	1890-10-12	false	30	-75.13	39.89	Gloucester City	NJ	US
GRA01	Ramona Park	1903-05-24	1903-05-24	false	1	-85.61	42.95	Grand Rapids	MI	US
HAR01	Harrison Field	1915-04-16	1915-10-03	false	79	-74.16	40.74	Harrison	NJ	US
HOB01	Elysian Field	1873-07-04	1873-07-04	false	1	-74.0268	40.7499	Hoboken	NJ	US
HOU01	Colt Stadium	1962-04-10	1964-09-27	false	244	-95.41	29.69	Houston	TX	US
HOU02	Astrodome	1965-04-12	1999-10-03	false	2774	-95.41	29.68	Houston	TX	US
HOU03	Minute Maid Park	2000-04-07	2013-09-29	true	1131	-95.36	29.76	Houston	TX	US
HRT01	Hartford Ball Club Grounds	1874-05-01	1876-09-16	false	100	-72.67	41.76	Hartford	CT	US
HRT02	Hartford Trotting Park	1872-06-21	1872-08-09	false	3	-72.7	41.78	Hartford	CT	US
IND01	South Street Park	1878-05-01	1878-09-13	false	22	-86.15	39.76	Indianapolis	IN	US
